,mjd,band,flux,fluxerr,detected_bool,ratio,ratio2bool
0,26.967400000001362,r,-2.73571,0.993824,0,2.7527107415397496,1
1,26.97500000000582,g,0.870201,0.958982,0,0.9074216200095518,1
2,26.982700000000477,i,2.744853,1.694914,0,1.6194644684037065,1
3,26.993600000001607,z,0.960604,2.608637,0,0.36823981259178645,1
4,27.00460000000021,Y,6.076863,5.30479,0,1.1455426133739508,1
5,29.8666000000012,r,0.899599,2.31035,0,0.38937779990044796,1
6,29.874400000000605,g,3.251254,3.343387,0,0.9724432140221877,1
7,29.882100000002538,i,4.315783,2.46927,0,1.747797122226407,1
8,29.89320000000589,z,-6.614343,2.721061,0,2.4307955609962435,1
9,29.904400000006717,Y,-2.166176,6.073649,0,0.3566514956659498,1
10,37.85610000000452,r,-1.395097,1.388921,0,1.0044466171942104,1
11,37.86390000000392,g,4.917197,1.801893,0,2.7289062114121094,1
12,37.871600000005856,i,0.602138,1.615885,0,0.37263666659446676,1
13,37.88270000000193,z,0.814945,2.034737,0,0.4005161355005586,1
14,37.89390000000276,Y,-3.516916,4.205003,0,0.836364682736255,1
15,40.76180000000022,r,0.538652,1.097044,0,0.49100309559142574,1
16,40.769500000002154,g,0.208737,0.980341,0,0.2129228503143294,1
17,40.77730000000156,i,0.480455,1.729004,0,0.2778796347492545,1
18,40.78840000000491,z,-3.550565,2.5672,0,1.3830496260517295,1
19,40.79960000000574,Y,-9.109945,5.451396,0,1.6711214888810133,1
20,43.75440000000526,r,-1.842406,0.915989,0,2.011384416188404,1
21,43.76209999999992,g,0.123227,0.898567,0,0.13713724185286127,1
22,43.7699000000066,i,0.323695,1.392918,0,0.23238625676457622,1
23,43.78100000000268,z,-0.266821,2.08013,0,0.12827130996620403,1
24,43.792200000003504,Y,-1.281562,4.848125,0,0.2643417816166044,1
25,47.85570000000007,u,2.403948,1.671673,0,1.4380491878495376,1
26,48.75140000000101,u,0.565133,1.897464,0,0.29783595367290233,1
27,49.74720000000525,u,-3.080585,1.74075,0,1.7696883527215281,1
28,50.74510000000009,u,1.228002,2.693408,0,0.45592869702622113,1
29,51.75300000000425,u,2.245174,2.802679,0,0.8010813939091848,1
30,52.79300000000512,u,1.977756,2.793551,0,0.707972039887584,1
31,55.99120000000403,r,0.249254,0.894415,0,0.2786782422030042,1
32,55.99880000000121,g,-1.374214,1.02338,0,1.3428188942523795,1
33,56.00640000000567,i,3.132161,1.604383,0,1.9522526728343546,1
34,56.0173000000068,z,-0.611305,2.505828,0,0.24395329607618718,1
35,56.0283000000054,Y,-4.235882,6.700787,0,0.6321469403519319,1
36,65.77400000000489,r,-0.844788,1.412169,0,0.598220184694608,1
