,mjd,band,flux,fluxerr,detected_bool,ratio,ratio2bool
0,393.8307999999961,r,3.055086,2.310484,0,1.3222710046899264,1
1,393.83839999999327,g,2.788841,3.517671,0,0.7928089352301566,1
2,393.84599999999773,i,-0.924669,2.447819,0,0.37775219491310424,1
3,393.85689999999886,z,1.986369,2.872669,0,0.6914715896610434,1
4,393.86789999999746,Y,4.866667,6.535507,0,0.7446502620225178,1
5,405.80509999999776,r,0.105299,1.021271,0,0.10310583576739181,1
6,405.81269999999495,g,0.518038,1.106548,0,0.4681568264548849,1
7,405.8202999999994,i,-0.440053,1.825832,0,0.24101505505435333,1
8,405.831299999998,z,-3.764101,2.733463,0,1.377044796289542,1
9,405.84219999999914,Y,-1.145496,5.900601,0,0.19413208925667064,1
10,408.7867999999944,r,-1.704406,1.044509,0,1.631777227386265,1
11,408.79439999999886,g,0.266411,0.946621,0,0.2814336466230941,1
12,408.8020999999935,i,0.240127,1.662008,0,0.14448005063754207,1
13,408.81299999999464,z,-1.833394,2.493492,0,0.7352716591831857,1
14,408.82399999999325,Y,-4.649166,6.094933,0,0.7627919781890957,1
15,414.804999999993,u,-3.184735,1.811539,0,1.7580272906075993,1
16,415.7815999999948,u,0.092001,1.608063,0,0.05721231071170719,1
17,416.7869999999966,u,1.350247,1.85933,0,0.7262008357849333,1
18,420.9027999999962,r,3.110847,1.116551,0,2.7861217266385503,1
19,420.9103999999934,g,-0.184679,1.031609,0,0.1790203458868622,1
20,420.91799999999785,i,0.854178,1.718893,0,0.4969349459215902,1
21,420.92899999999645,z,-5.111535,3.082461,0,1.6582642894751953,1
22,420.9398999999976,Y,-13.893554,7.985081,0,1.739939018777643,1
23,433.75969999999506,r,1.139095,0.982758,0,1.1590798548574521,1
24,433.7672999999995,g,-0.566852,1.223082,0,0.4634619755666423,1
25,433.7749999999942,i,2.302597,1.596244,0,1.4425094158537166,1
26,433.7858999999953,z,4.141901,2.266866,0,1.8271485831098973,1
27,433.7968999999939,Y,0.679034,5.434911,0,0.12493930443387206,1
28,436.7101999999941,r,-0.573804,1.43748,0,0.3991735537190082,1
29,436.71779999999853,g,0.498732,1.190786,0,0.41882588475175225,1
30,436.7253999999957,i,-1.48808,1.972674,0,0.754346638116587,1
31,436.7363999999943,z,-3.164932,2.889548,0,1.0953034869121399,1
32,436.74729999999545,Y,2.08257,6.795039,0,0.3064838921454314,1
33,444.7337999999945,u,1.216967,1.463626,0,0.8314740241017855,1
34,445.72350000000006,u,-0.555122,1.637835,0,0.33893646185360554,1
35,446.74959999999555,u,-1.18794,1.571304,0,0.7560217500878251,1
36,448.68449999999575,r,-0.283708,0.872077,0,0.32532448396185204,1
37,448.69209999999293,g,1.61947,0.944884,0,1.713935255544596,1
38,448.69979999999487,i,-2.973477,1.234389,0,2.4088654386907207,1
39,448.710699999996,z,2.141239,1.819765,0,1.176656876025201,1
40,448.7216999999946,Y,-0.665582,4.293956,0,0.15500438290471538,1
41,462.684699999998,r,0.255654,1.016451,0,0.25151630526213264,1
42,462.6923999999999,g,-0.56582,1.035755,0,0.5462874907676043,1
43,462.6999999999971,i,-2.275873,1.483127,0,1.534509856539595,1
44,462.7108999999982,z,-2.87272,1.925846,0,1.4916665195451766,1
45,462.7218999999968,Y,-1.933469,5.203604,0,0.3715634394930898,1
46,467.6689999999944,r,-1.567226,1.033626,0,1.51624088403349,1
47,467.67659999999887,g,0.023727,1.009845,0,0.023495684981358525,1
48,467.68419999999605,i,-1.343061,1.354454,0,0.9915884924847946,1
49,467.69519999999466,z,-2.852906,1.877636,0,1.5194137734896433,1
50,467.7060999999958,Y,-5.232295,4.591593,0,1.1395380644582394,1
51,468.68009999999776,u,-0.624263,1.85184,0,0.3371041774667358,1
52,469.6677999999956,u,-0.572019,1.518736,0,0.3766414966129729,1
53,470.6671999999962,u,1.345437,1.479223,0,0.9095565712539624,1
54,471.66649999999936,u,-0.194224,1.455055,0,0.1334822395029741,1
55,472.6663999999946,u,-0.407558,1.454102,0,0.28028157584543584,1
56,473.66479999999865,u,-0.755675,1.635916,0,0.4619277517916568,1
57,474.66449999999895,u,2.372046,1.585585,0,1.496006836593434,1
58,489.6554999999935,r,3.687097,1.487694,0,2.478397439258342,1
59,489.66309999999794,g,2.062833,2.042544,0,1.0099332009494042,1
60,489.6706999999951,i,4.236469,2.055193,0,2.0613484962239554,1
61,489.6816999999937,z,10.100628,2.400872,0,4.207066432529515,1
62,489.69259999999485,Y,8.950196,5.713855,0,1.5664023675784564,1
63,494.6534999999931,r,7.661763,0.717918,1,10.672197939040393,1
64,494.66109999999753,g,3.381966,0.720823,0,4.691811998229801,1
65,494.6686999999947,i,10.634419,1.155351,1,9.204491968241685,1
66,494.67959999999584,z,11.864538,1.826601,1,6.49541853968108,1
67,494.69059999999445,Y,18.16922,4.920954,0,3.6922149648218614,1
68,497.66109999999753,u,4.986879,1.989052,0,2.5071637141713743,1
